Gender,Track,ParentalEducation,MathScore,ReadingScore,WritingScore
Male,Track C,Associate's Degree,72,75,73
Female,Track B,High School,92,86,73
Female,Track C,Bachelor's Degree,68,66,88
Male,Track A,Associate's Degree,95,68,87
Female,Track C,Bachelor's Degree,51,89,55
Male,Track A,Associate's Degree,71,96,52
Male,Track B,Bachelor's Degree,62,89,88
Male,Track A,High School,52,76,57
Female,Track C,Associate's Degree,87,59,63
Male,Track C,Bachelor's Degree,62,96,87
Male,Track A,Associate's Degree,54,71,80
Female,Track C,Associate's Degree,87,68,65
Female,Track C,Associate's Degree,66,93,51
Male,Track A,High School,58,97,98
Male,Track A,Associate's Degree,62,98,71
Female,Track A,Bachelor's Degree,81,51,69
Female,Track A,Associate's Degree,86,70,94
Female,Track B,Bachelor's Degree,52,65,97
Female,Track C,Bachelor's Degree,81,51,71
Male,Track C,High School,55,72,89
Female,Track C,Associate's Degree,99,72,59
Female,Track A,Bachelor's Degree,68,98,52
Female,Track B,High School,96,79,96
Male,Track B,Associate's Degree,65,50,76
Male,Track A,Bachelor's Degree,51,70,89
Male,Track C,Associate's Degree,61,74,90
Male,Track B,High School,59,59,70
Male,Track B,Associate's Degree,86,51,73
Male,Track B,Bachelor's Degree,76,62,78
Male,Track C,Bachelor's Degree,91,62,55
Female,Track A,High School,69,98,61
Female,Track C,High School,71,83,86
Male,Track C,Associate's Degree,70,78,60
Male,Track C,Bachelor's Degree,78,50,69
Female,Track C,Bachelor's Degree,67,81,61
Female,Track C,High School,72,73,73
Male,Track C,High School,63,50,89
Male,Track C,Associate's Degree,53,62,55
Female,Track A,Bachelor's Degree,67,98,90
Female,Track A,Bachelor's Degree,89,77,95
Female,Track B,High School,88,70,51
Male,Track B,Associate's Degree,82,95,67
Male,Track B,Bachelor's Degree,56,54,54
Female,Track B,High School,52,71,75
Female,Track C,Bachelor's Degree,70,55,59
Female,Track A,High School,93,95,64
Female,Track A,High School,68,72,79
Female,Track A,Associate's Degree,97,75,72
Female,Track B,High School,79,86,63
Female,Track B,Associate's Degree,93,70,93
Female,Track B,Associate's Degree,61,89,67
Female,Track C,Associate's Degree,75,93,91
Male,Track B,Associate's Degree,86,56,84
Male,Track A,Associate's Degree,90,51,58
Male,Track A,High School,67,69,85
Female,Track A,High School,97,97,65
Male,Track C,High School,50,97,84
Female,Track A,Bachelor's Degree,89,56,62
Male,Track B,Associate's Degree,53,54,66
Female,Track C,Bachelor's Degree,82,55,56
Male,Track B,Bachelor's Degree,55,68,77
Male,Track B,Bachelor's Degree,96,71,54
Male,Track C,Bachelor's Degree,96,87,91
Female,Track B,Bachelor's Degree,94,87,60
Male,Track C,Bachelor's Degree,51,84,72
Male,Track B,Bachelor's Degree,63,82,95
Male,Track B,High School,56,78,74
Male,Track B,High School,93,60,73
Male,Track B,Bachelor's Degree,72,77,92
Male,Track B,High School,54,58,93
Female,Track C,Associate's Degree,50,74,99
Male,Track B,Associate's Degree,78,78,79
Male,Track B,Bachelor's Degree,71,69,70
Male,Track A,High School,89,74,67
Male,Track B,Bachelor's Degree,61,64,88
Female,Track C,Bachelor's Degree,83,67,66
Male,Track A,Bachelor's Degree,70,84,73
Male,Track B,High School,94,98,91
Female,Track C,Bachelor's Degree,59,86,72
Male,Track C,Associate's Degree,69,78,76
Female,Track B,Associate's Degree,82,90,84
Male,Track C,High School,72,50,61
Male,Track C,Bachelor's Degree,79,52,61
Female,Track B,High School,79,62,97
Male,Track C,Associate's Degree,82,61,95
Male,Track B,High School,87,86,81
Female,Track A,High School,91,91,63
Female,Track B,Bachelor's Degree,62,57,50
Female,Track B,Bachelor's Degree,96,86,77
Male,Track B,High School,94,50,60
Female,Track C,Bachelor's Degree,71,92,52
Male,Track A,High School,74,60,96
Female,Track A,High School,71,83,98
Male,Track B,Associate's Degree,55,66,61
Male,Track B,Bachelor's Degree,68,53,62
Female,Track A,High School,84,72,54
Male,Track B,Bachelor's Degree,72,81,73
Male,Track B,Associate's Degree,76,67,71
Male,Track C,Bachelor's Degree,59,98,92
Male,Track B,Bachelor's Degree,94,56,97
Male,Track B,Bachelor's Degree,60,84,80
Male,Track B,Associate's Degree,51,75,90
Female,Track B,High School,84,68,66
Female,Track C,Bachelor's Degree,67,60,83
Female,Track B,High School,57,63,88
Male,Track A,High School,50,90,82
Male,Track C,Bachelor's Degree,99,82,71
Female,Track C,High School,53,90,94
Female,Track A,High School,84,73,78
Female,Track B,High School,59,63,99
Female,Track C,Associate's Degree,82,77,64
Male,Track A,Associate's Degree,83,66,96
Male,Track B,High School,56,53,74
Male,Track C,High School,54,97,61
Female,Track A,High School,62,77,85
Female,Track B,Bachelor's Degree,73,96,98
Female,Track B,Bachelor's Degree,67,74,83
Female,Track A,Associate's Degree,60,80,97
Male,Track C,Associate's Degree,60,57,55
Female,Track B,Bachelor's Degree,66,55,86
Male,Track C,Bachelor's Degree,52,79,58
Female,Track B,High School,79,52,75
Male,Track A,High School,81,88,69
Male,Track B,Associate's Degree,73,56,65
Male,Track C,High School,65,66,66
Female,Track C,Bachelor's Degree,76,74,65
Female,Track B,Bachelor's Degree,77,94,50
Female,Track C,Associate's Degree,90,58,57
Female,Track C,Bachelor's Degree,57,90,59
Male,Track C,Bachelor's Degree,84,85,68
Male,Track A,Bachelor's Degree,74,73,87
Male,Track B,High School,80,80,71
Male,Track A,Bachelor's Degree,52,64,66
Male,Track C,Bachelor's Degree,95,61,54
Female,Track A,High School,64,77,63
Male,Track B,Bachelor's Degree,56,78,77
Female,Track C,High School,81,69,73
Female,Track B,Associate's Degree,63,77,53
Female,Track B,Associate's Degree,60,95,88
Female,Track B,High School,85,72,83
Female,Track B,Associate's Degree,51,79,78
Female,Track C,Associate's Degree,88,91,79
Male,Track B,High School,70,66,69
Male,Track C,High School,96,53,93
Female,Track C,Associate's Degree,59,82,74
Female,Track C,Associate's Degree,74,93,95
Female,Track C,Associate's Degree,96,96,74
Female,Track A,Associate's Degree,74,86,77
Female,Track B,Associate's Degree,50,69,82
Female,Track A,Bachelor's Degree,76,54,70
Female,Track B,Bachelor's Degree,58,59,89
Female,Track C,Bachelor's Degree,98,65,53
Male,Track A,Associate's Degree,56,71,74
Female,Track C,High School,64,58,81
Female,Track B,Associate's Degree,83,84,61
Male,Track C,High School,63,58,91
Female,Track C,High School,51,69,96
Male,Track C,Bachelor's Degree,77,73,78
Female,Track B,High School,53,69,80
Female,Track B,High School,87,97,74
Female,Track C,High School,71,78,97
Male,Track C,Bachelor's Degree,64,73,83
Female,Track C,Bachelor's Degree,79,74,53
Female,Track B,Associate's Degree,82,90,85
Female,Track A,High School,93,72,60
Male,Track A,High School,99,67,73
Female,Track A,Associate's Degree,62,82,87
Male,Track B,High School,81,65,57
Male,Track A,Associate's Degree,63,94,53
Female,Track B,Bachelor's Degree,74,55,97
Male,Track C,High School,67,87,51
Female,Track B,Associate's Degree,69,78,77
Female,Track B,Associate's Degree,80,86,71
Male,Track C,Associate's Degree,85,98,93
Male,Track B,High School,91,67,82
Female,Track C,Associate's Degree,56,63,77
Male,Track A,Bachelor's Degree,93,64,52
Male,Track A,Bachelor's Degree,90,59,70
Female,Track B,Associate's Degree,60,55,99
Female,Track B,Associate's Degree,57,65,51
Male,Track A,Associate's Degree,95,79,58
Male,Track A,Bachelor's Degree,78,91,93
Female,Track C,High School,97,99,60
Female,Track C,Associate's Degree,83,67,52
Female,Track C,Associate's Degree,66,64,65
Male,Track A,High School,62,86,89
Female,Track A,Bachelor's Degree,61,99,74
Male,Track A,Associate's Degree,81,55,56
Male,Track A,High School,96,69,95
Male,Track B,Associate's Degree,63,87,72
Male,Track A,Associate's Degree,55,95,88
Female,Track B,Bachelor's Degree,78,99,77
Female,Track A,Associate's Degree,83,97,60
Female,Track A,Associate's Degree,97,53,62
Male,Track A,Associate's Degree,51,55,66
Male,Track A,Bachelor's Degree,74,62,64
Female,Track B,Associate's Degree,72,90,81
Female,Track A,High School,77,64,82
Male,Track C,Associate's Degree,87,50,89
Female,Track A,High School,59,85,57
Male,Track A,High School,86,54,58
Male,Track B,High School,53,87,78
Female,Track B,High School,55,61,50
Female,Track C,Bachelor's Degree,93,98,70
Female,Track A,Bachelor's Degree,60,52,74
Female,Track B,High School,71,82,65
Male,Track B,Bachelor's Degree,81,82,61
Female,Track B,Associate's Degree,86,96,53
Female,Track C,High School,99,85,70
Female,Track A,High School,87,51,62
Female,Track A,Bachelor's Degree,93,56,98
Female,Track C,Associate's Degree,85,91,57
Female,Track B,High School,71,92,73
Female,Track B,Bachelor's Degree,88,89,98
Female,Track B,Bachelor's Degree,63,74,59
Female,Track B,High School,89,57,94
Male,Track C,Bachelor's Degree,93,82,62
Female,Track C,Bachelor's Degree,97,50,70
Male,Track A,High School,80,98,60
Female,Track A,High School,70,58,80
Female,Track C,Bachelor's Degree,85,54,80
Male,Track C,Bachelor's Degree,63,95,84
Female,Track C,High School,76,68,87
Male,Track B,Bachelor's Degree,88,57,88
Female,Track B,Associate's Degree,57,78,55
Female,Track C,Bachelor's Degree,82,65,75
Female,Track C,Bachelor's Degree,94,87,74
Female,Track B,Associate's Degree,79,57,74
Female,Track B,Bachelor's Degree,97,50,69
Male,Track C,Bachelor's Degree,70,68,81
Female,Track B,High School,52,59,64
Female,Track C,Associate's Degree,83,93,57
Female,Track A,High School,92,61,75
Female,Track C,High School,97,84,77
Female,Track A,Bachelor's Degree,79,63,68
Female,Track B,High School,82,76,76
Male,Track A,High School,98,90,73
Male,Track B,High School,81,59,79
Female,Track A,Associate's Degree,68,63,69
Male,Track C,High School,81,94,70
Male,Track A,Bachelor's Degree,93,54,60
Female,Track C,Bachelor's Degree,52,72,52
Male,Track C,High School,57,85,89
Female,Track A,Associate's Degree,58,74,65
Male,Track A,Bachelor's Degree,66,84,82
Male,Track B,High School,68,75,90
Male,Track B,Bachelor's Degree,89,88,69
Female,Track A,Bachelor's Degree,65,66,53
Male,Track B,High School,74,59,63
Male,Track C,Bachelor's Degree,75,84,86
Female,Track B,High School,61,94,61
Male,Track B,High School,95,59,51
Male,Track C,Associate's Degree,59,93,56
Male,Track B,Associate's Degree,66,89,55
Female,Track B,Associate's Degree,77,87,64
Male,Track A,Associate's Degree,95,87,51
Male,Track A,Associate's Degree,73,70,72
Female,Track C,Associate's Degree,54,90,55
Female,Track A,Associate's Degree,98,80,88
Female,Track B,Associate's Degree,92,73,79
Male,Track A,High School,53,50,77
Female,Track A,Associate's Degree,62,63,75
Male,Track B,High School,82,80,71
Male,Track A,Associate's Degree,58,84,64
Male,Track A,High School,99,78,95
Male,Track A,Associate's Degree,77,83,54
Female,Track B,High School,86,61,92
Male,Track A,Bachelor's Degree,79,84,67
Female,Track C,High School,90,64,53
Female,Track A,High School,81,70,71
Male,Track B,Bachelor's Degree,93,59,97
Female,Track A,Associate's Degree,62,99,98
Female,Track B,Associate's Degree,53,85,61
Male,Track A,High School,84,75,88
Female,Track B,High School,99,92,66
Male,Track C,Bachelor's Degree,92,61,72
Male,Track A,Bachelor's Degree,84,90,60
Female,Track C,Bachelor's Degree,87,64,82
Male,Track A,High School,98,92,59
Female,Track B,Associate's Degree,88,90,81
Male,Track A,Bachelor's Degree,82,54,87
Female,Track A,High School,95,93,73
Female,Track A,Associate's Degree,87,69,78
Female,Track C,High School,66,50,93
Male,Track C,High School,79,86,92
Female,Track B,High School,94,63,58
Male,Track A,Bachelor's Degree,55,78,52
Female,Track B,Bachelor's Degree,57,86,85
Female,Track C,Bachelor's Degree,60,89,91
Female,Track A,High School,93,83,60
Male,Track C,Bachelor's Degree,98,65,55
Male,Track C,High School,52,89,55
Female,Track A,Bachelor's Degree,96,54,60
Female,Track A,Associate's Degree,71,91,93
Female,Track B,Associate's Degree,75,58,88
Male,Track A,High School,75,85,90
Female,Track B,High School,54,65,61
Female,Track B,High School,59,53,56
Female,Track B,Bachelor's Degree,71,62,74
Female,Track A,Bachelor's Degree,61,63,98
Female,Track C,High School,74,97,58
Male,Track B,High School,96,82,97
Female,Track B,High School,56,82,80
Male,Track B,High School,62,98,61
Female,Track A,Associate's Degree,87,81,56
Female,Track A,High School,82,56,93
Female,Track A,Associate's Degree,80,75,69
Male,Track C,Associate's Degree,52,74,67
Female,Track A,High School,94,76,54
Male,Track C,Associate's Degree,98,83,50
Female,Track A,Associate's Degree,75,54,96
Female,Track A,Associate's Degree,65,61,59
Female,Track A,Bachelor's Degree,63,58,76
Male,Track B,High School,65,59,65
Male,Track A,Associate's Degree,55,75,62
Male,Track B,Associate's Degree,95,62,68
Female,Track C,Associate's Degree,96,61,58
Female,Track B,Associate's Degree,59,86,72
Female,Track A,High School,76,50,90
Female,Track A,Associate's Degree,75,91,53
Female,Track C,High School,98,67,83
Female,Track B,High School,89,89,81
Female,Track B,Bachelor's Degree,64,90,94
Male,Track A,High School,52,78,54
Male,Track B,High School,78,98,66
Female,Track A,High School,97,96,59
Female,Track C,High School,70,85,89
Female,Track A,Bachelor's Degree,76,58,57
Male,Track B,Bachelor's Degree,59,89,50
Female,Track C,High School,89,73,96
Female,Track B,Associate's Degree,69,95,50
Male,Track C,Associate's Degree,96,74,98
Male,Track B,Bachelor's Degree,90,72,57
Male,Track C,Associate's Degree,92,69,81
Female,Track C,High School,98,87,67
Female,Track C,High School,87,89,65
Female,Track A,Bachelor's Degree,90,63,66
Male,Track B,Associate's Degree,73,94,69
Female,Track A,Associate's Degree,91,83,84
Female,Track A,High School,61,64,96
Female,Track C,High School,86,80,77
Male,Track B,Bachelor's Degree,63,57,85
Male,Track C,Bachelor's Degree,77,56,90
Male,Track A,Associate's Degree,99,52,82
Male,Track B,High School,57,77,58
Male,Track A,Bachelor's Degree,81,60,84
Female,Track A,High School,50,54,92
Male,Track C,Bachelor's Degree,88,88,87
Female,Track A,Bachelor's Degree,67,65,52
Female,Track B,High School,88,68,51
Male,Track C,High School,99,60,99
Male,Track A,High School,76,57,85
Male,Track B,High School,79,73,53
Male,Track C,Associate's Degree,65,99,96
Female,Track C,Associate's Degree,55,98,53
Male,Track C,Associate's Degree,93,75,91
Female,Track B,High School,71,77,64
Female,Track A,High School,93,73,79
Female,Track A,Associate's Degree,58,95,85
Male,Track C,Associate's Degree,64,86,78
Male,Track B,Bachelor's Degree,57,83,54
Female,Track C,Bachelor's Degree,99,60,95
Male,Track B,Bachelor's Degree,68,85,58
Female,Track C,Associate's Degree,52,97,98
Female,Track C,High School,79,62,50
Male,Track C,High School,93,87,95
Male,Track B,Bachelor's Degree,51,95,55
Female,Track A,Bachelor's Degree,94,85,73
Male,Track B,High School,57,56,75
Female,Track B,Bachelor's Degree,95,51,74
Female,Track B,Bachelor's Degree,84,98,58
Male,Track C,High School,98,83,66
Female,Track C,Associate's Degree,88,92,65
Male,Track C,High School,76,90,69
Male,Track B,Associate's Degree,74,71,74
Male,Track B,High School,60,86,93
Male,Track B,Bachelor's Degree,98,71,83
Female,Track A,Associate's Degree,62,94,97
Female,Track C,Associate's Degree,71,97,77
Male,Track C,Bachelor's Degree,63,85,58
Female,Track B,High School,69,87,96
Male,Track B,Bachelor's Degree,54,93,76
Female,Track A,High School,69,60,53
Female,Track A,High School,73,92,76
Female,Track B,High School,66,59,62
Female,Track C,Associate's Degree,61,59,64
Female,Track B,Associate's Degree,53,87,82
Female,Track A,High School,58,51,87
Female,Track C,Bachelor's Degree,89,77,98
Female,Track B,Bachelor's Degree,54,98,77
Male,Track A,High School,84,98,87
Male,Track C,High School,67,70,70
Female,Track C,Bachelor's Degree,78,60,99
Female,Track C,Associate's Degree,68,80,60
Female,Track B,Bachelor's Degree,67,58,79
Male,Track B,Bachelor's Degree,81,84,95
Male,Track A,Bachelor's Degree,66,69,83
Female,Track B,Associate's Degree,55,93,74
Male,Track B,High School,50,63,63
Female,Track B,Bachelor's Degree,72,81,74
Male,Track C,High School,69,58,60
Female,Track B,Associate's Degree,58,70,90
Male,Track B,High School,89,70,77
Male,Track C,High School,62,92,65
Male,Track C,High School,61,72,74
Male,Track A,Bachelor's Degree,72,77,84
Female,Track C,Bachelor's Degree,95,84,57
Male,Track B,Bachelor's Degree,62,78,70
Male,Track B,Associate's Degree,81,66,69
Female,Track A,High School,97,63,76
Male,Track C,High School,74,94,95
Female,Track A,Associate's Degree,91,54,87
Female,Track A,Associate's Degree,84,88,61
Male,Track B,High School,73,60,58
Male,Track A,High School,60,50,73
Female,Track C,Associate's Degree,60,59,90
Female,Track A,Associate's Degree,94,75,75
Female,Track C,High School,64,63,68
Female,Track A,Bachelor's Degree,64,76,95
Female,Track C,Bachelor's Degree,59,56,74
Female,Track B,Bachelor's Degree,83,95,53
Female,Track C,High School,58,52,95
Male,Track C,Associate's Degree,82,92,89
Female,Track B,Bachelor's Degree,51,73,87
Female,Track B,High School,60,90,56
Male,Track C,High School,73,77,88
Female,Track C,Bachelor's Degree,77,86,95
Female,Track B,Bachelor's Degree,72,94,72
Male,Track A,Bachelor's Degree,76,78,71
Female,Track B,High School,80,54,78
Male,Track C,High School,82,83,57
Male,Track C,High School,71,62,93
Male,Track A,Associate's Degree,95,79,69
Male,Track C,High School,51,89,90
Female,Track B,High School,75,93,82
Female,Track B,Bachelor's Degree,53,55,75
Male,Track A,Bachelor's Degree,78,67,60
Male,Track B,Bachelor's Degree,58,70,51
Male,Track B,High School,66,50,76
Male,Track A,Bachelor's Degree,93,86,91
Male,Track C,Bachelor's Degree,86,98,68
Female,Track B,High School,89,79,63
Female,Track A,Associate's Degree,82,57,76
Female,Track C,Associate's Degree,90,61,86
Female,Track B,Associate's Degree,61,80,53
Male,Track C,Associate's Degree,94,82,86
Female,Track B,Associate's Degree,92,93,98
Male,Track B,Associate's Degree,70,87,91
Female,Track B,Associate's Degree,66,56,68
Male,Track A,High School,69,86,84
Male,Track B,Bachelor's Degree,52,68,54
Female,Track C,Associate's Degree,70,62,62
Female,Track A,Bachelor's Degree,55,83,87
Male,Track C,High School,90,86,76
Male,Track A,Bachelor's Degree,70,71,92
Male,Track C,Associate's Degree,70,78,71
Male,Track C,High School,58,80,66
Male,Track B,High School,90,93,83
Female,Track B,Associate's Degree,72,98,58
Female,Track B,Bachelor's Degree,94,62,69
Female,Track C,Associate's Degree,95,84,95
Male,Track A,High School,51,74,57
Male,Track C,High School,64,83,99
Female,Track C,High School,68,53,50
Female,Track C,Bachelor's Degree,64,90,94
Female,Track A,Associate's Degree,70,69,87
Male,Track A,Associate's Degree,66,54,54
Male,Track A,Bachelor's Degree,77,83,64
Female,Track B,High School,88,61,72
Male,Track B,High School,54,93,76
Male,Track C,Associate's Degree,80,89,65
Male,Track A,Bachelor's Degree,76,55,59
Male,Track C,Bachelor's Degree,70,77,69
Male,Track B,Bachelor's Degree,67,52,58
Female,Track B,Associate's Degree,84,69,90
Female,Track A,Bachelor's Degree,57,99,86
Female,Track C,High School,92,64,93
Female,Track B,Associate's Degree,58,70,51
Male,Track C,Associate's Degree,62,50,76
Female,Track A,Bachelor's Degree,73,78,73
Male,Track A,High School,55,95,54
Female,Track C,High School,53,88,90
Female,Track C,High School,60,95,82
Male,Track A,High School,96,61,54
Male,Track A,Associate's Degree,98,88,51
Male,Track A,Bachelor's Degree,59,98,51
Male,Track B,Bachelor's Degree,94,68,88
Female,Track B,High School,93,81,96
Male,Track C,High School,73,55,59
Female,Track B,High School,65,84,80
Female,Track B,High School,79,52,98
Male,Track C,Associate's Degree,73,63,77
Female,Track A,Bachelor's Degree,51,53,81
Male,Track C,Associate's Degree,99,91,87
Female,Track B,Bachelor's Degree,93,66,51
Male,Track B,High School,63,87,82
Male,Track B,Bachelor's Degree,78,82,59
Male,Track C,Bachelor's Degree,91,61,82
Female,Track C,High School,58,66,85
Female,Track C,High School,95,70,75
Male,Track C,Bachelor's Degree,50,82,60
Male,Track B,Bachelor's Degree,84,59,65
Female,Track C,Associate's Degree,81,91,78
Male,Track C,High School,99,61,86
Male,Track C,Associate's Degree,81,74,94
Male,Track B,Associate's Degree,91,78,66
Female,Track B,High School,68,85,98
Male,Track C,Associate's Degree,69,96,75
Male,Track C,High School,58,78,72
Female,Track A,Bachelor's Degree,76,99,59
Male,Track B,Bachelor's Degree,78,96,91
Female,Track C,Bachelor's Degree,99,53,65
Female,Track B,Bachelor's Degree,63,95,50
Male,Track B,High School,75,92,79
Male,Track C,High School,72,72,67
Male,Track C,Associate's Degree,81,55,55
Male,Track C,Associate's Degree,57,51,86
Female,Track C,Bachelor's Degree,62,93,78
Female,Track B,High School,80,62,58
Female,Track A,High School,67,77,70
Female,Track C,Associate's Degree,78,91,84
Male,Track A,Bachelor's Degree,94,99,55
Female,Track B,Associate's Degree,88,78,54
Male,Track C,Bachelor's Degree,95,76,90
Female,Track C,High School,91,52,58
Male,Track B,High School,82,75,81
Female,Track A,High School,99,97,81
Male,Track C,High School,94,55,66
Female,Track A,Bachelor's Degree,63,51,77
Female,Track C,Bachelor's Degree,59,52,62
Female,Track A,Associate's Degree,75,87,78
Male,Track B,Associate's Degree,95,90,59
Male,Track B,High School,83,64,98
Male,Track C,Associate's Degree,64,72,85
Male,Track C,Bachelor's Degree,63,54,64
Female,Track C,Bachelor's Degree,86,93,89
Female,Track B,High School,97,65,70
Male,Track B,High School,65,94,75
Male,Track A,High School,72,90,78
Female,Track A,Bachelor's Degree,54,74,75
Female,Track A,Associate's Degree,77,57,96
Female,Track B,High School,95,88,55
Female,Track C,High School,63,52,97
Female,Track C,Associate's Degree,62,96,55
Female,Track C,Bachelor's Degree,87,90,94
Female,Track A,High School,64,93,56
Male,Track C,Associate's Degree,53,57,55
Male,Track C,High School,95,94,57
Male,Track B,Associate's Degree,99,61,61
Male,Track C,Associate's Degree,88,57,71
Female,Track C,Bachelor's Degree,71,93,51
Male,Track B,Bachelor's Degree,66,70,74
Female,Track C,Bachelor's Degree,51,95,98
Female,Track C,Bachelor's Degree,76,79,56
Female,Track B,Associate's Degree,55,78,63
Female,Track B,Associate's Degree,74,89,75
Male,Track B,High School,64,97,51
Male,Track C,High School,97,67,60
Female,Track C,Associate's Degree,62,73,70
Male,Track C,Bachelor's Degree,91,51,73
Female,Track A,Bachelor's Degree,85,53,90
Male,Track B,Bachelor's Degree,77,59,85
Female,Track C,High School,73,56,62
Female,Track B,High School,64,54,85
Female,Track A,High School,79,83,65
Male,Track C,High School,83,67,93
Female,Track A,Associate's Degree,79,96,89
Female,Track A,Bachelor's Degree,53,99,93
Male,Track A,Associate's Degree,70,96,93
Female,Track A,High School,61,62,62
Female,Track B,High School,90,51,54
Female,Track A,Associate's Degree,59,68,88
Male,Track B,Bachelor's Degree,82,62,91
Female,Track B,High School,67,87,91
Male,Track C,Associate's Degree,89,95,73
Male,Track B,Associate's Degree,92,77,67
Female,Track C,Bachelor's Degree,69,56,86
Male,Track B,Bachelor's Degree,94,98,95
Female,Track A,Associate's Degree,81,77,57
Female,Track C,High School,95,88,77
Male,Track C,Bachelor's Degree,56,93,96
Male,Track B,High School,87,57,91
Female,Track C,Associate's Degree,69,86,77
Male,Track A,Associate's Degree,96,64,79
Female,Track A,Associate's Degree,76,65,98
Female,Track A,Associate's Degree,57,50,56
Female,Track B,Bachelor's Degree,57,67,55
Male,Track A,Associate's Degree,56,76,85
Female,Track A,High School,62,70,85
Male,Track C,Associate's Degree,95,92,92
Female,Track C,High School,54,83,67
Female,Track C,Associate's Degree,63,59,87
Male,Track B,Associate's Degree,62,92,65
Female,Track B,High School,99,77,93
Male,Track C,High School,59,58,73
Male,Track C,High School,78,96,75
Female,Track B,Associate's Degree,96,52,69
Female,Track A,Associate's Degree,64,97,61
Female,Track A,Associate's Degree,80,78,69
Female,Track C,Associate's Degree,99,86,77
Female,Track B,Bachelor's Degree,88,71,86
Female,Track C,Associate's Degree,95,61,51
Female,Track A,High School,50,75,83
Male,Track B,Bachelor's Degree,51,64,58
Male,Track B,Associate's Degree,69,61,76
Male,Track B,Bachelor's Degree,77,59,67
Male,Track C,Bachelor's Degree,69,74,51
Female,Track A,High School,98,63,98
Female,Track A,High School,53,92,94
Male,Track A,High School,61,82,73
Female,Track C,High School,52,80,90
Male,Track A,High School,82,60,60
Female,Track C,Associate's Degree,73,78,55
Male,Track A,Bachelor's Degree,57,95,94
Male,Track A,Associate's Degree,83,68,86
Male,Track B,Bachelor's Degree,72,80,75
Female,Track C,Associate's Degree,72,61,87
Male,Track A,Associate's Degree,62,59,76
Female,Track B,Associate's Degree,73,58,56
Male,Track C,Associate's Degree,94,59,85
Female,Track A,High School,70,90,75
Female,Track B,High School,65,97,70
Female,Track A,Associate's Degree,79,66,74
Female,Track B,Associate's Degree,95,63,68
